{938, 0.337766}
{939, 0.337764}
{940, 0.337763}
{941, 0.337760}
{942, 0.337755}
{943, 0.337720}
{944, 0.337713}
{945, 0.337709}
{946, 0.337701}
{947, 0.337700}
{948, 0.337700}
{949, 0.337699}
{950, 0.337699}
{951, 0.337698}
{952, 0.337697}
{953, 0.337697}
{954, 0.337695}
{955, 0.337695}
{956, 0.337694}
{957, 0.337692}
{958, 0.337689}
{959, 0.337683}
{960, 0.337681}
{961, 0.337680}
{962, 0.337678}
{963, 0.337674}
{964, 0.337671}
{965, 0.337659}
{966, 0.337659}
{967, 0.337659}
{968, 0.337658}
{969, 0.337658}
{970, 0.337658}
{971, 0.337657}
{972, 0.337657}
{973, 0.337646}
{974, 0.337645}
{975, 0.337645}
{976, 0.337611}
{977, 0.337610}
{978, 0.337609}
{979, 0.337608}
{980, 0.337606}
{981, 0.337599}
{982, 0.337598}
{983, 0.337596}
{984, 0.337588}
{985, 0.337587}
{986, 0.337577}
{987, 0.337571}
{988, 0.337570}
{989, 0.337559}
{990, 0.337553}
{991, 0.337553}
{992, 0.337553}
{993, 0.337550}
{994, 0.337550}
{995, 0.337547}
{996, 0.337544}
{997, 0.337542}
{998, 0.337528}
{999, 0.337508}
{1000, 0.337508}
